Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,150.375,-69.35,0.0,top
C2,10u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,159.75,-66.7625,90.0,top
C3,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,166.675,-78.2375,90.0,top
C4,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,148.1125,-87.45,180.0,top
J1,Conn_02x08_Odd_Even,PinHeader_2x08_P2.00mm_Vertical,157.1,-72.9,90.0,bottom
JBatt1,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Vertical,166.35,-83.925,0.0,top
R1,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,161.525,-87.15,0.0,top
R2,2k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,163.225,-83.4,90.0,top
R3,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,160.825,-78.8,180.0,top
R5,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,159.75,-83.4,-90.0,top
R100,100,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,155.825,-68.35,180.0,top
R300,300,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,155.825,-66.1,180.0,top
RIsense1,0.4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,170.875,-71.4,-90.0,top
RIsense2,0.4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,143.125,-71.775,90.0,top
RISet1,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,155.175,-84.35,90.0,top
RISet2,2k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,157.4,-84.35,90.0,top
Rterm1,2k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,152.55,-84.325,-90.0,top
SW1,SW_Push,SW_DIP_SPSTx01_Slide_6.7x4.1mm_W8.61mm_P2.54mm_LowProfile,144.3,-80.42,-90.0,top
TPBatt1,TestPoint,TestPoint_Pad_D1.0mm,158.1,-76.075,0.0,top
TPChg1,TestPoint,TestPoint_Pad_D1.0mm,156.65,-80.325,0.0,top
TPM1A1,TestPoint,TestPoint_Pad_1.0x1.0mm,147.625,-73.25,0.0,top
TPM1B1,TestPoint,TestPoint_Pad_1.0x1.0mm,147.625,-75.25,0.0,top
TPM1F1,TestPoint,TestPoint_Pad_D1.0mm,146.8,-68.7,0.0,top
TPM2A1,TestPoint,TestPoint_Pad_1.0x1.0mm,166.175,-71.85,0.0,top
TPM2B1,TestPoint,TestPoint_Pad_1.0x1.0mm,166.2,-73.85,0.0,top
TPM2F1,TestPoint,TestPoint_Pad_D1.0mm,162.15,-66.1,0.0,top
TPPG1,TestPoint,TestPoint_Pad_D1.0mm,150.125,-81.325,0.0,top
TPPWM1,TestPoint,TestPoint_Pad_1.0x1.0mm,164.125,-69.8,0.0,top
TPPWM2,TestPoint,TestPoint_Pad_1.0x1.0mm,162.125,-69.8,0.0,top
TPPWM3,TestPoint,TestPoint_Pad_1.0x1.0mm,149.65,-66.25,0.0,top
TPPWM4,TestPoint,TestPoint_Pad_1.0x1.0mm,151.8,-66.2,0.0,top
TPVs1,TestPoint,TestPoint_Pad_1.0x1.0mm,157.175,-87.875,0.0,top
UCharger1,BQ24092DGQR,IC_XTR111AIDGQR,152.225,-78.875,0.0,top
UMotor1,DRV8832DGQ,IC_XTR111AIDGQR,145.525,-65.9,0.0,top
UMotor2,DRV8832DGQ,IC_XTR111AIDGQR,166.475,-66.325,180.0,top
