Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,119.909487,-113.657641,-155.0,top
D2,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,150.718447,-109.35133,180.0,top
D3,LED,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,180.944447,-116.38713,155.0,top
Q1,Q_Photo_NPN,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,113.901842,-116.463039,-155.0,top
Q2,Q_Photo_NPN,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,144.089047,-109.35133,180.0,top
Q3,Q_Photo_NPN,LED_D5.0mm_Horizontal_O1.27mm_Z3.0mm_IRBlack,174.935134,-113.635919,155.0,top
R1,10k,R_1206_3216Metric,142.819047,-122.40693,90.0,top
R2,10k,R_1206_3216Metric,116.6876,-128.7526,90.0,top
R3,10k,R_1206_3216Metric,155.976247,-122.40693,90.0,top
R4,100,R_1206_3216Metric,126.746,-122.4026,90.0,top
R5,100,R_1206_3216Metric,150.5712,-122.40693,90.0,top
R6,100,R_1206_3216Metric,170.784447,-128.73153,90.0,top
